title1,blank,href
【双语财讯】广交会恢复线下展  商家抓机遇寻商机,这是新冠疫情发生后第一次全面恢复线下举办。本届广交会实现了规模扩大、题材优化、双线融合、质量提升4个新突破。,//language.chinadaily.com.cn/a/202304/17/WS643e0686a310b6054face428.html
为什么乘坐飞机时手机要调成飞行模式？真实原因是……,坐飞机时会被要求将手机调成飞行模式，因为在飞机上使用手机会对飞行产生干扰，那么这种干扰具体指的是什么呢？,//language.chinadaily.com.cn/a/202304/17/WS643ce59ea310b6054face133.html
一课译词: 嘴硬,“嘴硬”，比喻“自知理亏而口头上不肯认错或服输”，可以翻译为“stubborn and reluctant to admit mistakes or defeats”。,//language.chinadaily.com.cn/a/202304/14/WS64396421a310b6054facdc03.html
【双语财讯】调查：84%信贷经理认为美国今年将陷入衰退 企业违约率将上升,国际信贷组合经理协会调查显示，信贷投资组合经理们预测，未来一年企业违约率将上升，84%的受访者认为美国经济可能在2023年陷入衰退。,//language.chinadaily.com.cn/a/202304/14/WS64396410a310b6054facdbff.html
每日一词∣国际旅客列车 cross-border passenger train,列车全程经停8个车站，包括铁路口岸通关时间在内的全程旅行时间为10小时30分。,//language.chinadaily.com.cn/a/202304/14/WS64391868a310b6054facdb5d.html
Favorite punching bag?,短语“punching bag”的含义是“出气筒，受气包”，也可以指“发泄对象“。,//language.chinadaily.com.cn/a/202304/14/WS6438f6d9a310b6054facdac9.html
“夸父一号”卫星观测数据向海内外试开放,我国首颗综合性太阳探测卫星“夸父一号”准实时观测数据12日起向国内外试开放。,//language.chinadaily.com.cn/a/202304/14/WS6438f240a310b6054facdabe.html
双语新闻播报（April 13）,今日播报内容：“丫丫”要回来了！孟菲斯动物园举办告别派对；托福考试新变化：7月26日起考试时长缩短，取消独立写作题；美国加州奥克兰市上百人抗议要求司法公正。,//language.chinadaily.com.cn/a/202304/13/WS6437d5a2a31057c47ebb9fb9.html
一课译词：心神不安,心神不安，意思是心里烦躁，精神不安。可以翻译为“feel unsettled，be anxious and distracted”等。,//language.chinadaily.com.cn/a/202304/13/WS6437cbf2a31057c47ebb9fb1.html
五月最值得一看的5部海外新片,五一长假期间，与其去景点欣赏“人海”，不如舒舒服服地在家看电影。五月份国外又有哪些佳片上映？,//language.chinadaily.com.cn/a/202304/28/WS644b5f10a310b6054fad062d.html
【双语财讯】利用数字技术壮大实体经济 赋能高质量发展,在经济发展新形势下，促进数字经济和实体经济深度融合，是顺应科技革命浪潮、契合国家战略需求的必然之举，也是实体经济实现高质量发展的关键所在。,//language.chinadaily.com.cn/a/202304/28/WS644b3a21a310b6054fad05ff.html
每日一词|亚洲文化遗产保护联盟 Alliance for Cultural Heritage in Asia,4月25日，国家主席习近平向亚洲文化遗产保护联盟大会致贺信。,//language.chinadaily.com.cn/a/202304/28/WS644b1bb9a310b6054fad04c5.html
一课译词：维持生计,“维持生计”，维持衣食等基本生活需要（just having enough money and food to stay alive），可以翻译为“subsist，to stay alive”等。,//language.chinadaily.com.cn/a/202304/27/WS644a2296a310b6054fad02b9.html
美国将“关税武器化”是搬起石头砸自己的脚,目前，中国在太阳能电池板全部关键制造阶段的份额超过80%，具有无与伦比的性价比优势。美国和其他太阳能电池板的主要消费者几乎无法避免购买中国制造的设备。,//language.chinadaily.com.cn/a/202304/27/WS644a1f8ba310b6054fad029c.html
双语新闻播报（April 27）,今日播报内容：Meta再裁4000人 开始赔付7.25亿美元天价和解费；准备好了吗？今年全球气温或将创新高。,//language.chinadaily.com.cn/a/202304/27/WS6449ee36a310b6054fad021f.html
“五一”旅游市场预订火爆 将迎出行高峰,“五一”假期临近，不少消费者正在筹备出游。各大旅游平台发布的数据显示，今年“五一”假期，国内旅游需求增长显著。,//language.chinadaily.com.cn/a/202304/27/WS6449e5efa310b6054fad01f8.html
【双语财讯】美报告：物价飙升致纽约半数家庭“入不敷出”，少数族裔家庭贫困率显著高于白人,纽约真实生活成本报告显示，无法“满足纽约市最低生活成本”的家庭比例从2021年的36%上升至2023年的50%。,//language.chinadaily.com.cn/a/202304/27/WS6449e452a310b6054fad01e7.html
美国婚戒婚纱销量大减 珠宝公司举步维艰,继美国最大婚纱品牌上周宣布破产后，美国最大钻石珠宝零售商西格内特珠宝公司也透露称“订婚空白期”让订婚戒指销量大减。,//language.chinadaily.com.cn/a/202304/27/WS6449e388a310b6054fad01de.html
与不同类型的食物搭配使用的量词（三）,"“一粒米”、“一桶冰淇淋”、“一盒鸡蛋”里用到的量词“粒”、“桶”、“盒”所对应的英语说法分别是什么？看视频，找答案，学英语量词。

",//language.chinadaily.com.cn/a/202304/27/WS6449d2aba310b6054fad0110.html
一课译词：背锅,“背锅”，网络流行语，“背黑锅”的简称，用来比喻“为他人承受过错（take the blame for the faults of others）”。,//language.chinadaily.com.cn/a/202304/26/WS644932caa310b6054facff73.html
每日一词∣联合国世界数据论坛 United Nations World Data Forum,4月24—27日，第四届联合国世界数据论坛在浙江杭州举办。本届论坛有100多个国家和地区的1000余名代表线下参会，超过8000人线上参会。,//language.chinadaily.com.cn/a/202304/26/WS6448e601a310b6054facff0b.html
为什么具有成长型思维的人更容易成功？,成长型思维模式和固定型思维模式，你属于哪一种？,//language.chinadaily.com.cn/a/202304/26/WS6448bb38a310b6054facfe59.html
一课译词：望风,望风，汉语词汇，指为进行秘密活动的人守望、观察动静。可以翻译为“be on the lookout，watch for danger，keep guard”等。,//language.chinadaily.com.cn/a/202304/25/WS6447dd18a310b6054facfba3.html
研究：爱吃炸薯条可能更易患上抑郁症,众所周知，常吃炸薯条会引发肥胖、高血压，危害身体健康，如今，炸薯条又多了一宗“罪”。,//language.chinadaily.com.cn/a/202304/25/WS64479b1ca310b6054facfb72.html
All in? 押上全部,All in意思是押上全部，投入全部。,//language.chinadaily.com.cn/a/202304/25/WS64479970a310b6054facfb68.html
每日一词∣《儒藏》工程 Confucian Canon Project,据北京大学消息，经过近20年努力，《儒藏》编纂工程取得重要成果。目前《儒藏》“精华编”中国部分510种、282册已全部整理完成，收录了中国历史上最具影响力和代表性的儒学文献。,//language.chinadaily.com.cn/a/202304/25/WS644796d1a310b6054facfb51.html
一课译词：车牌摇号,你参与过“车牌摇号”吗？你知道“摇号”的英文表达吗？,//language.chinadaily.com.cn/a/202304/24/WS64469c7ea310b6054facf807.html
每日一词∣“中国式现代化与世界”蓝厅论坛 Lanting Forum on Chinese Modernization and the World,4月21日，国家主席习近平向在上海“世界会客厅”举办的“中国式现代化与世界”蓝厅论坛致贺信。,//language.chinadaily.com.cn/a/202304/24/WS64464510a310b6054facf788.html
【双语财讯】中外专家：中国经济强劲增长利好全球,专家认为，世界经济挑战加剧之际，中国经济强劲增长利好全球，对世界经济具有提振作用。,//language.chinadaily.com.cn/a/202304/24/WS64463c1ea310b6054facf74f.html
双语新闻播报（April 24）,今日播报内容：为什么乘坐飞机时手机要调成飞行模式；防范AI犯罪刻不容缓。 ,//language.chinadaily.com.cn/a/202304/24/WS6446371aa310b6054facf745.html
一课译词：德艺双馨,"德艺双馨，意思是形容一个人的德行和艺术都具有良好的声誉。可以翻译为“artist of both moral and artistic stature”。
",//language.chinadaily.com.cn/a/202305/12/WS645dff12a310b6054fad2afb.html
Asleep at the wheel? 工作时心不在焉,Asleep at the wheel的意思是工作时心不在焉。,//language.chinadaily.com.cn/a/202305/12/WS645de223a310b6054fad2a97.html
揭秘：母亲节说什么话能让妈妈开心？,母亲节快到了，比起收到鲜花这样的礼物，你的妈妈可能更愿意听到一些暖心的话。这个母亲节，和你的妈妈好好聊聊天吧。,//language.chinadaily.com.cn/a/202305/12/WS645dded2a310b6054fad2a7b.html
【双语财讯】中国游客出境游意愿高涨,万事达卡近日发布的报告对比了中国游客疫情前后跨境出行活动，凸显出疫情后中国游客高涨的出境意愿，以及相关消费行为方式的显著改变。,//language.chinadaily.com.cn/a/202305/12/WS645ddc09a310b6054fad2a6a.html
每日一词∣服务贸易 services trade,2023年一季度，我国服务贸易继续保持增长态势，旅行服务明显恢复。一季度，我国服务进出口总额1.58万亿元，同比增长8.7%。,//language.chinadaily.com.cn/a/202305/12/WS645d8ae0a310b6054fad28a1.html
一课译词：面子,对“爱面子（be keen on face-saving）”的人来说，丢什么都不能“丢面子（lose face）”。,//language.chinadaily.com.cn/a/202305/11/WS645cb0a3a310b6054fad2753.html
肥皂能驱蚊？研究发现用错肥皂反而更招蚊子,一项研究表明，肥皂的香味非但不能帮助你隐藏自己，反而可能使你成为更吸引蚊子的目标。,//language.chinadaily.com.cn/a/202305/11/WS645cae78a310b6054fad2743.html
【双语财讯】监管新政规范房地产经纪服务 有助于房地产业健康发展,《意见》特别明确，房地产经纪服务收费由交易各方根据服务内容、服务质量，结合市场供求关系等因素协商确定。,//language.chinadaily.com.cn/a/202305/11/WS645c9909a310b6054fad2715.html
预计今年全球旅游总人次将达到107.8亿,2022年全球旅游总人次达到95.7亿，全球旅游总收入达到4.6万亿美元，分别恢复至2019年的66.1%和79.6%。,//language.chinadaily.com.cn/a/202305/11/WS645c54a1a310b6054fad260e.html
美研究：美国消费者情绪愈发悲观，近7成民众认为经济衰退已到来,Numerator发布的月度消费者情绪研究显示，69%的消费者认为美国正处于经济衰退之中，68%的消费者认为未来几个月经济会恶化。,//language.chinadaily.com.cn/a/202304/26/WS644892a4a310b6054facfdfa.html
我国全面实现不动产统一登记,自然资源部部长王广华25日说，经过十年不懈努力，我国全面实现不动产统一登记，不动产统一登记制度体系基本成型。,//language.chinadaily.com.cn/a/202304/26/WS64488b28a310b6054facfd95.html
【双语财讯】保障数据安全 推动经济高质量发展,数据要素作为数字经济深化发展的核心引擎，数据安全也成为事关国家安全和经济社会发展的重大议题。,//language.chinadaily.com.cn/a/202304/24/WS64462e24a310b6054facf737.html
一课译词：传销,“传销”可以翻译为“pyramid selling，multi-level marketing”等。,//language.chinadaily.com.cn/a/202304/23/WS644537fca310b6054facf474.html
五一假期民航预计运输旅客900万人次,距离假期不到10天，从机票预订数据来看，旅客出行需求已经提前释放。,//language.chinadaily.com.cn/a/202304/23/WS6444d36fa310b6054facf3ef.html
世界读书日的由来,今天是世界读书日。你知道世界读书日是怎么来的吗？为什么要把世界读书日定在4月23日？让我们一起来了解这个节日。,//language.chinadaily.com.cn/a/202304/23/WS64447500a310b6054facf2fc.html
英国黑人产妇死亡率是白人的近4倍，产妇护理中的种族歧视影响被低估,一份报告显示，英国黑人女性死于分娩的可能性是白人女性的近四倍，太多黑人女性接受的治疗“达不到可接受的标准”。,//language.chinadaily.com.cn/a/202304/21/WS64425f2da310b6054facf0b8.html
一课译词：有氧运动,“有氧运动”，是指主要以有氧代谢提供运动中所需能量的运动方式，如游泳、慢跑等。英文翻译为“aerobics、aerobic exercise”。,//language.chinadaily.com.cn/a/202304/21/WS64425efda310b6054facf0b6.html
每日一词∣联合国中文日 UN Chinese Language Day,4月20日是联合国中文日。联合国日内瓦办事处万国宫当日举行“盛世雅赡——庆祝联合国中文日暨中国历代绘画大系之宋画展”活动。,//language.chinadaily.com.cn/a/202304/21/WS6442498aa310b6054facf06d.html
与不同动物搭配，表示“一群”的英语量词（三）,还想继续积累英语量词？看视频，学习“一群大象”、“一片牡蛎”、“一群鹅”、 “一群/窝幼崽”的英语说法。,//language.chinadaily.com.cn/a/202305/11/WS645c47d0a310b6054fad2566.html
【双语财讯】中国外贸稳中向好势头延续,专家表示，2023年我国外贸将保持稳定增长，并将在支撑全球供应链方面发挥关键作用。,//language.chinadaily.com.cn/a/202305/10/WS645b5fa3a310b6054fad232b.html
每日一词∣世界华侨华人社团联谊大会 Conference for Friendship of Overseas Chinese Associations,世界华侨华人社团联谊大会是全球华侨华人主要社团及负责人联谊交流的重要平台，来自130多个国家和地区的近500位华侨华人社团负责人参加了本届大会。,//language.chinadaily.com.cn/a/202305/10/WS645b5f68a310b6054fad2328.html
一课译词：标本兼治,标本兼治，表示从枝节和根本方面都得到处理。可以翻译为“address both the symptoms and root causes of the problem”等。,//language.chinadaily.com.cn/a/202305/10/WS645b5ef2a310b6054fad2320.html
学习外语的奥秘,他在演讲最后说的这句话让人印象深刻：翻译字词易如反掌，翻译意思却难过登天。,//language.chinadaily.com.cn/a/202305/10/WS645b4b50a310b6054fad22ea.html
异地恋要长久 就不要犯这5个错误,相比经常见面的情侣，异地恋情侣需要付出更多才能维系一段感情。想要让异地恋开花结果，有些错误绝对不能犯。,//language.chinadaily.com.cn/a/202305/10/WS645b4a45a310b6054fad22e4.html
每日一词∣野生动物保护 protection of wildlife,修订后的《野生动物保护法》加强对野生动物栖息地的保护，并细化野生动物种群调控措施。,//language.chinadaily.com.cn/a/202305/05/WS6454c7e8a310b6054fad14a2.html
一课译词：自给自足,"“自给自足”，意思是依靠自己的生产，满足自身需求。可以翻译为“self-sufficient，be able to support oneself”等。
",//language.chinadaily.com.cn/a/202305/05/WS6454c4b7a310b6054fad1496.html
【双语财讯】第133届广交会第二期出口成交超过45亿美元,本届广交会第二期集中展示了日用消费品、礼品、家居装饰品等轻工产品，参展企业近1.2万家。,//language.chinadaily.com.cn/a/202305/05/WS6454b082a310b6054fad1442.html
科学家通过合成“基因震荡器”延长细胞寿命，实现高效抗衰,加州大学圣地亚哥分校郝楠团队通过合成生物学重新编程细胞衰老的过程，在酵母细胞内设计了一个合成基因振荡器，将酵母细胞寿命延长了82%。,//language.chinadaily.com.cn/a/202305/05/WS6454aed2a310b6054fad1434.html
美国普通员工收入停滞不前 高管薪酬涨幅却轻松跑赢通胀,去年美国首席执行官的平均收入上涨了7.7%。入选薪酬前100名的首席执行官的平均收入是普通员工平均收入的288倍。,//language.chinadaily.com.cn/a/202305/05/WS64549b2ca310b6054fad13d5.html
Flipping the switch? 按动开关,Flipping the switch意思是按动开关，引申义为突然做出巨大变动。,//language.chinadaily.com.cn/a/202305/05/WS645483fca310b6054fad13b6.html
双语新闻播报（May 4）,今日播报内容：中国地名，上火星了；欧洲空气污染每年导致至少1200名儿童早夭。,//language.chinadaily.com.cn/a/202305/04/WS64537d23a310b6054fad113f.html
一季度我国服务进出口总额同比增长8.7%,商务部9日发布数据显示，一季度，我国服务贸易继续保持增长态势。,//language.chinadaily.com.cn/a/202305/10/WS645b3e63a310b6054fad22bb.html
一课译词：流离失所,流离失所，汉语成语，意思是无处安身，四处流浪。可以翻译为“be displaced，force people to move away from their home”等。,//language.chinadaily.com.cn/a/202305/09/WS645a1763a310b6054fad1f80.html
美媒：得州“悲惨周末”凸显美国两大政治裂痕,美国有线电视新闻网（CNN）8日发文称，上周末发生在得克萨斯州的两起悲剧凸显了美国在枪支和移民问题上的两大政治裂痕。,//language.chinadaily.com.cn/a/202305/09/WS645a1431a310b6054fad1f7c.html
每日一词∣人口高质量发展 high-quality population development,人口发展是关系中华民族伟大复兴的大事，必须着力提高人口整体素质，以人口高质量发展支撑中国式现代化。,//language.chinadaily.com.cn/a/202305/09/WS645a0de8a310b6054fad1f59.html
一课译词：代驾,代驾，是指专业驾驶人员驾驶车主的车将其送至指定地点并收取一定费用的行为。可以翻译为“designated driving”。,//language.chinadaily.com.cn/a/202305/04/WS64537ac1a310b6054fad113d.html
麦当劳再曝童工丑闻！美童工问题愈演愈烈，非法雇用童工激增69%,美国劳工部调查发现，有300多名儿童在麦当劳餐厅非法工作，其中包括肯塔基州路易斯维尔一家麦当劳餐厅的两名10岁儿童。,//language.chinadaily.com.cn/a/202305/04/WS64537a8aa310b6054fad113a.html
每日一词∣共青团员member of the Communist Youth League,共青团中央3日发布的中国共青团团内统计公报显示，截至2022年12月底，全国共有共青团员7358.3万名。,//language.chinadaily.com.cn/a/202305/04/WS64537410a310b6054fad1133.html
6个步骤提高你的情商,情商是指辨别和管理自身及他人情绪的能力，情商包含3个技能：认识情绪、利用情绪和管理情绪的能力。,//language.chinadaily.com.cn/a/202305/04/WS64535b26a310b6054fad10ce.html
“五一”假期预计全国营业性客运量超2.7亿人次,交通运输部数据显示，“五一”假期，全国铁路、公路、水路、民航预计发送旅客超2.7亿人次，比去年同期增长162.9%。,//language.chinadaily.com.cn/a/202305/04/WS64535366a310b6054fad10af.html
【双语财讯】“五一”假期旅游火热带动国内经济复苏,无论是凭烧烤“出圈”的淄博，还是北京、成都等传统热门旅游地，甚至是小众旅游地，都交出了一份亮眼的成绩单。,//language.chinadaily.com.cn/a/202305/04/WS64534578a310b6054fad1077.html
与不同天气词汇搭配的英语量词,将以下四个天气名词：“风 wind”、“阳光 sunshine”、“雨 rain”、“雷 thunder” 与它们各自相对应的英语量词搭配：ray; gust; flood; crack.,//language.chinadaily.com.cn/a/202305/04/WS64531254a310b6054fad0f68.html
每日一词∣无障碍环境建设 building of barrier-free living environment,无障碍环境建设法草案近日提请十四届全国人大常委会第二次会议二次审议。,//language.chinadaily.com.cn/a/202305/01/WS644f0ec5a310b6054fad099f.html
初次见面最讨人喜欢的3个星座，来看看有你吗？,有三个星座的人天生就自带社牛属性，总能在初次见面时给人留下良好的第一印象。来看看是哪三个星座？,//language.chinadaily.com.cn/a/202305/09/WS6459fa7ba310b6054fad1f23.html
Best foot forward? 留下一个好印象,Best foot forward意思是给别人留下一个好的第一印象。,//language.chinadaily.com.cn/a/202305/09/WS6459e71ca310b6054fad1ed3.html
【双语财讯】人民币跨境结算规模稳步扩大,数据显示，今年一季度，我国跨境人民币结算同比上升明显，人民币国际化的“拼图”不断铺展开来。,//language.chinadaily.com.cn/a/202305/09/WS6459dfcfa310b6054fad1ea0.html
双语新闻播报（May 8）,今日播报内容：美国大型连锁店80%的收据含有“有毒”化学物质；日本研究所预测：2070年日本总人口将减少30%。,//language.chinadaily.com.cn/a/202305/08/WS6458e47fa310b6054fad1bd9.html
每日一词∣先进制造业集群advanced manufacturing clusters,会议指出，要把发展先进制造业集群摆到更加突出位置，坚持全国一盘棋，引导各地发挥比较优势，在专业化、差异化、特色化上下功夫。,//language.chinadaily.com.cn/a/202305/08/WS6458bc68a310b6054fad1b98.html
一课译词：无障碍电梯,在地铁或商场里经常可以看到无障碍电梯相关标识，那么你注意过它的英文表达吗？,//language.chinadaily.com.cn/a/202305/08/WS6458bbdfa310b6054fad1b8c.html
越南现44.1度高温天气 打破历史纪录,近日越南出现了创纪录的44.1度高温，人们不得不提早出工，避开高温时段。泰国、孟加拉、印度也出现了比往年更炎热的天气。,//language.chinadaily.com.cn/a/202305/08/WS6458a1a4a310b6054fad1b18.html
【双语财讯】纽约大学教授达摩达兰警告：还会有更多美国银行如“多米诺骨牌”般倒下,估值大师、纽约大学金融学教授阿斯沃斯·达摩达兰5月6日表示，还会有更多美国银行如“多米诺骨牌”般倒下。,//language.chinadaily.com.cn/a/202305/08/WS6458995ba310b6054fad1afd.html
检察机关一季度批捕诈骗犯罪10923人,"据介绍，当前诈骗犯罪在形式、组织、手段上呈现出新特点。犯罪手段趋于智能化，隐蔽性强。

",//language.chinadaily.com.cn/a/202305/08/WS645894cca310b6054fad1ae6.html
【双语财讯】全球央行掀“购金热” 中国一季度金饰消费大涨,中国金饰消费总量同比增长11%，环比增长56%，是2015年以来金饰需求最强劲的一季度表现。,//language.chinadaily.com.cn/a/202305/06/WS6455fbfaa310b6054fad170d.html
世卫宣布新冠疫情不再构成“国际关注的突发公共卫生事件”,世界卫生组织总干事谭德塞5日宣布，新冠疫情不再构成“国际关注的突发公共卫生事件”。,//language.chinadaily.com.cn/a/202305/06/WS6455f2d0a310b6054fad16f7.html
枪支暴力吓退国际学生？专家：人身安全问题成赴美留学最大担忧,对大规模枪击事件的担忧已经成为影响国际学生赴美留学的主要因素。近年来，枪支暴力和人身安全问题成为赴美留学最突出的弊端。,//language.chinadaily.com.cn/a/202304/13/WS6437c73ba31057c47ebb9fa1.html
每日一词∣能源行业高质量发展 high-quality development of the energy sector,国家能源局日前表示，我国能源行业将聚焦能源安全保障、清洁低碳转型、科技自立自强、体制机制创新、加强国际合作等5个方面，推进能源行业高质量发展。,//language.chinadaily.com.cn/a/202304/13/WS6438e7e6a310b6054facda97.html
【双语财讯 】麦肯锡：中国仍是跨国公司战略优选,4月11日，全球管理咨询公司麦肯锡旗下的麦肯锡全球研究院发布的最新报告《跨国公司的中国要务：新机遇、新风险、新布局》探讨了这一话题，并给出破局思路。,//language.chinadaily.com.cn/a/202304/13/WS6438f262a310b6054facdac0.html
和不同调味品搭配，表示“一点”的英语量词,烹调时，怎样用英语说放“少量的”佐料？看视频，学习可分别与上述调味品搭配，表示“一点”的英语量词。,//language.chinadaily.com.cn/a/202304/13/WS643751aaa31057c47ebb9d29.html
每日一词∣羊易地热电站 Yangyi geothermal power station,羊易地热电站是我国海拔最高的地热电站，从2018年投运至今，累计发电突破5亿千瓦时。它地处西藏自治区拉萨市当雄县，是我国目前唯一商业化运营的地热电站。,//language.chinadaily.com.cn/a/202304/12/WS643670a9a31057c47ebb9be3.html
三月金融数据超预期 信贷投放靠前发力,我国首季金融统计数据11日出炉，一季度我国新增人民币贷款创新高。,//language.chinadaily.com.cn/a/202304/12/WS64374b64a31057c47ebb9d12.html
每日一词|网络文学作品 online literary works,2023年全国网络文学工作会议近日在上海举行，会上发布《2022中国网络文学蓝皮书》（以下简称《蓝皮书》）。,//language.chinadaily.com.cn/a/202304/12/WS6436058ba31057c47ebb9a37.html
一课译词：一锅粥,“一锅粥”，汉语词语，字面意思是“a pot of porridge”，形容极其混乱。,//language.chinadaily.com.cn/a/202304/11/WS64355890a31057c47ebb98ec.html
【双语财讯】试点恢复沪深港口 出境邮轮游市场升温,随着国家出入境旅游政策放开，海外邮轮旅行市场已感受到热度。,//language.chinadaily.com.cn/a/202304/11/WS64375107a31057c47ebb9d25.html
【双语财讯】美就业市场持续降温 多项数据拉响警报 专家：美国衰退或已经开始,据福布斯网站4月9日报道，美国劳工部7日公布的就业报告显示，美国就业市场持续降温，多项数据显示，经济放缓的速度可能超出预期，存在经济硬着陆的风险。,//language.chinadaily.com.cn/a/202304/10/WS6433f3f5a31057c47ebb94e9.html
双语新闻播报（April 10）,今日播报内容：已灭绝猛犸象DNA被培育制成肉丸；睡眠不足8小时或容易长“啤酒肚”。 ,//language.chinadaily.com.cn/a/202304/10/WS6433e261a31057c47ebb94df.html
每日一词∣第三届中国国际消费品博览会 the third China International Consumer Products Expo (CICPE),4月10日至15日，第三届中国国际消费品博览会在海口举行。据了解，本届消博会展览总面积达12万平方米，较上届增加20%。,//language.chinadaily.com.cn/a/202304/10/WS6433d010a31057c47ebb94cb.html
特斯拉将在沪新建储能超级工厂,电动车生产商特斯拉9日在上海宣布加码投资，将在沪新建储能超级工厂。,//language.chinadaily.com.cn/a/202304/10/WS6434b9aea31057c47ebb9696.html
